source,target,value
PBT,POT,1
PDOT,POT,1
PRI,PUOET,1
RQ,PUOET,1
PUST,PUOET,1
BLT,ADET,1
STT,ADET,1
AUST,AUPT,1
APT,AUPT,1
AUST,AUBT,1
APT,AUBT,1
ADOT,AUBT,1
ATT,AUOET,1
AQT,AUOET,1
BLT,AUOET,1
STT,AUOET,1
ADOT,AUOET,1
APT,AUOET,1
AUST,AUOET,1
GQ,PQ,1
SQ,PQ,1
RQ,PQ,1
GQ,PQF,1
SQ,PQF,1
RQ,PQF,1
AUST,TTF,1
OTBF,TTF,1
BLT,TTF,1
STT,TTF,1
PBT,A,1
APT,A,1
PBT,AE,1
AUBT,AE,1
APT,TE,1
ADOT,TE,1
AUBT,UE,1
APT,UE,1
APT,E,1
PQ,E,1
PRI,E,1
AUPT,SeR,1
AUST,SeR,1
PBT,BL,1
BLT,BL,1
PBT,ST,1
STT,ST,1
SQ,SQR,1
PSQ,SQR,1
PQ,SR,1
SQ,SR,1
PQ,RR,1
RQ,RR,1
PQ,FR,1
PQF,FR,1
PQF,FTQ,1
GQ,FTQ,1
PQ,QBR,1
RQ,QBR,1
GQ,QBR,1
PMT,CMR,1
CMT,CMR,1
A,OEE,1
E,OEE,1
QBR,OEE,1
AUPT,NEE,1
PBT,NEE,1
E,NEE,1
QBR,NEE,1
