Source,Target,Type,id,label,timeset,weight
AUST,A,Directed,0,,,2.7
AUST,AE,Directed,1,,,-1.1
AUST,TE,Directed,2,,,0.0
AUST,UE,Directed,3,,,3.85
AUST,SeR,Directed,4,,,4.17
AUST,BL,Directed,5,,,-0.07
AUST,ST,Directed,6,,,-0.97
APT,A,Directed,7,,,7.67
APT,AE,Directed,8,,,2.04
APT,TE,Directed,9,,,1.4
APT,UE,Directed,10,,,5.52
APT,SeR,Directed,11,,,4.94
APT,BL,Directed,12,,,0.14
APT,ST,Directed,13,,,1.79
ADOT,A,Directed,14,,,2.7
ADOT,AE,Directed,15,,,-1.1
ADOT,TE,Directed,16,,,6.25
ADOT,UE,Directed,17,,,3.85
ADOT,SeR,Directed,18,,,0.0
ADOT,BL,Directed,19,,,-0.07
ADOT,ST,Directed,20,,,-0.97
PBT,A,Directed,21,,,2.7
PBT,AE,Directed,22,,,2.7
PBT,TE,Directed,23,,,0.0
PBT,UE,Directed,24,,,0.0
PBT,SeR,Directed,25,,,0.0
PBT,BL,Directed,26,,,-0.07
PBT,ST,Directed,27,,,-0.97
AUPT,A,Directed,28,,,0.0
AUPT,AE,Directed,29,,,0.0
AUPT,TE,Directed,30,,,0.0
AUPT,UE,Directed,31,,,0.0
AUPT,SeR,Directed,32,,,2.56
AUPT,BL,Directed,33,,,0.0
AUPT,ST,Directed,34,,,0.0
AUBT,A,Directed,35,,,0.0
AUBT,AE,Directed,36,,,-3.7
AUBT,TE,Directed,37,,,0.0
AUBT,UE,Directed,38,,,3.85
AUBT,SeR,Directed,39,,,0.0
AUBT,BL,Directed,40,,,0.0
AUBT,ST,Directed,41,,,0.0
BLT,A,Directed,42,,,2.7
BLT,AE,Directed,43,,,2.7
BLT,TE,Directed,44,,,0.0
BLT,UE,Directed,45,,,0.0
BLT,SeR,Directed,46,,,0.0
BLT,BL,Directed,47,,,2.7
BLT,ST,Directed,48,,,-0.97
STT,A,Directed,49,,,2.7
STT,AE,Directed,50,,,2.7
STT,TE,Directed,51,,,0.0
STT,UE,Directed,52,,,0.0
STT,SeR,Directed,53,,,0.0
STT,BL,Directed,54,,,-0.07
STT,ST,Directed,55,,,2.7
